NM,H2,CH4,C2H6,C2H4,C2H2,Type
1,3930,2397,157,0,0,Partial discharge
2,37800,1740,249,8,8,Partial discharge
3,92600,10200,0,0,0,Partial discharge
4,8266,1061,22,0,0,Partial discharge
5,9340,995,60,6,7,Partial discharge
6,36036,4704,554,5,10,Partial discharge
7,33046,619,58,2,0,Partial discharge
8,40280,1069,1060,1,1,Partial discharge
9,26788,18342,2111,27,0,Partial discharge
10,78,20,11,13,28,Spark discharge
11,305,100,33,161,541,Spark discharge
12,35,6,3,26,482,Spark discharge
13,543,120,41,411,1880,Spark discharge
14,1230,163,27,233,692,Spark discharge
15,645,86,13,110,317,Spark discharge
16,60,10,4,4,4,Spark discharge
17,95,10,0,11,39,Spark discharge
18,6870,1028,79,900,5500,Spark discharge
19,10092,5399,530,6500,37565,Spark discharge
20,650,81,170,51,270,Spark discharge
21,210,22,6,6,7,Spark discharge
22,385,60,8,53,159,Spark discharge
23,4230,690,5,196,1180,Spark discharge
24,7600,1230,318,836,1560,Spark discharge
25,595,80,9,89,244,Spark discharge
26,120,25,1,8,40,Spark discharge
27,8,0,0,43,101,Spark discharge
28,6454,2313,121,2159,6432,Spark discharge
29,2177,1049,207,440,705,Spark discharge
30,1790,580,321,336,619,Spark discharge
31,1330,10,20,66,182,Spark discharge
32,4,1,2,7,52,Spark discharge
33,1900,285,31,957,7730,Spark discharge
34,57,24,2,27,30,Spark discharge
35,1000,500,1,400,500,Spark discharge
36,440,89,19,304,757,Arc discharge
37,210,43,12,102,187,Arc discharge
38,2850,1115,138,1987,3675,Arc discharge
39,7020,1850,0,2960,4410,Arc discharge
40,545,130,16,153,239,Arc discharge
41,7150,1440,97,1210,1760,Arc discharge
42,620,325,38,181,244,Arc discharge
43,120,31,0,66,94,Arc discharge
44,755,229,32,404,460,Arc discharge
45,5100,1430,0,1140,1010,Arc discharge
46,13500,6110,212,4510,4040,Arc discharge
47,1570,1110,175,1780,1830,Arc discharge
48,3090,5020,323,3800,2540,Arc discharge
49,1820,405,35,365,634,Arc discharge
50,535,160,16,305,680,Arc discharge
51,13,3,1,3,6,Arc discharge
52,137,67,7,53,104,Arc discharge
53,1084,188,8,166,769,Arc discharge
54,34,21,4,49,56,Arc discharge
55,7940,2000,355,3120,5390,Arc discharge
56,150,130,9,55,30,Arc discharge
57,8200,3790,250,4620,5830,Arc discharge
58,260,215,35,334,277,Arc discharge
59,75,15,7,14,26,Arc discharge
60,530,345,85,266,250,Arc discharge
61,60,5,2,21,21,Arc discharge
62,90,28,8,31,32,Arc discharge
63,220,77,22,170,240,Arc discharge
64,5900,1500,68,1200,2300,Arc discharge
65,420,250,41,530,800,Arc discharge
66,2800,2800,234,3500,3600,Arc discharge
67,99,170,20,200,190,Arc discharge
68,310,230,54,610,760,Arc discharge
69,800,160,23,260,600,Arc discharge
70,1500,395,28,395,323,Arc discharge
71,20000,13000,1850,29000,57000,Arc discharge
72,305,85,25,197,130,Arc discharge
73,1900,530,35,383,434,Arc discharge
74,110,62,90,140,250,Arc discharge
75,3700,1690,128,2810,3270,Arc discharge
76,2770,660,54,712,763,Arc discharge
77,245,120,18,131,167,Arc discharge
78,1170,255,18,312,325,Arc discharge
79,4419,3564,668,2861,2025,Arc discharge
80,810,280,111,570,490,Arc discharge
81,5000,1200,83,1000,1100,Arc discharge
82,10000,6730,345,7330,10400,Arc discharge
83,1570,735,87,1330,1740,Arc discharge
84,8800,64064,72128,95650,0,High-temperature overheating
85,6709,10500,1400,17700,750,High-temperature overheating
86,1100,1600,221,2010,26,High-temperature overheating
87,290,966,299,1810,57,High-temperature overheating
88,2500,10500,4790,13500,6,High-temperature overheating
89,1860,4980,0,10700,1600,High-temperature overheating
90,860,1670,30,2050,40,High-temperature overheating
91,150,22,9,60,11,High-temperature overheating
92,400,940,210,820,24,High-temperature overheating
93,6,2990,29990,26076,67,High-temperature overheating
94,100,200,110,670,11,High-temperature overheating
95,290,1260,231,820,8,High-temperature overheating
96,1550,2740,816,5450,184,High-temperature overheating
97,3910,4290,626,6040,1230,High-temperature overheating
98,12705,23498,6047,34257,5188,High-temperature overheating
99,1,8,8,100,6,High-temperature overheating
100,300,700,280,1700,36,High-temperature overheating
101,107,143,34,222,2,High-temperature overheating
102,54.54,71.93,9.72,97.37,6.58,High-temperature overheating
103,116.17,180.83,52.48,278.18,5.36,High-temperature overheating
104,5760,540,40.5,1000,2760,Arc discharge
105,50.18,171.12,74.7,148.69,0,Middle-temperature overheating
106,20,80.2,24.6,68.6,0,Middle-temperature overheating
107,28.97,10.94,1.64,6.96,4.36,High-temperature overheating
108,15.9,55.98,22.33,137.25,0.21,High-temperature overheating
109,47.6,19.1,4.21,27,0.72,Low-temperature overheating
110,40,102.6,32.3,183.3,0.2,Arc discharge
111,50.35,65.58,21.05,99.13,0.96,High-temperature overheating
112,2.369,119.69,21.891,20.15,0,Low-temperature overheating
